host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
t,moderate,f,1,Nob Hill,3.77958,-122.41533,Loft,Entire home/apt,2,1,1,1,Real Bed,30,119,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,3.77648,-122.45251,Apartment,Private room,2,4,1,1,Real Bed,32,14,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0
t,strict_14_with_grace_period,t,2,Bernal Heights,37.74556,-122.41207,Condominium,Private room,1,1,1,1,Real Bed,3,234,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
t,strict_14_with_grace_period,f,1,Castro/Upper Market,37.75963,-122.44143,House,Entire home/apt,2,1,1,1,Real Bed,3,353,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
t,strict_14_with_grace_period,f,2,Mission,37.75146,-122.41248,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,67,96.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0
t,moderate,f,1,Noe Valley,37.74885,-122.43673,Apartment,Entire home/apt,3,1,1,2,Real Bed,3,218,92.0,9.0,9.0,10.0,10.0,10.0,9.0,180.0
t,strict_14_with_grace_period,f,2,Potrero Hill,37.75645,-12.23991,Apartment,Private room,2,1,1,1,Real Bed,2,272,98.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0
t,flexible,f,1,Haight Ashbury,37.77162,-122.43836,Apartment,Private room,1,1,1,1,Real Bed,1,184,96.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0
t,moderate,t,2,Western Addition,37.78716,-122.43386,Guest suite,Entire home/apt,4,1,1,2,Real Bed,5,281,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
t,moderate,f,1,Noe Valley,37.74188,-122.43122,House,Private room,2,1,1,1,Real Bed,5,24,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,strict_14_with_grace_period,f,3,Western Addition,37.77729,-122.43421,Townhouse,Private room,2,1,1,1,Real Bed,2,399,98.0,10.0,10.0,10.0,10.0,10.0,9.0,110.0
t,moderate,f,1,Potrero Hill,37.76212,-122.39541,House,Private room,3,1,0,1,Real Bed,4,298,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
t,strict_14_with_grace_period,f,3,Western Addition,37.78895,-122.43031,House,Private room,2,1,1,1,Real Bed,2,76,92.0,10.0,9.0,10.0,10.0,10.0,9.0,110.0
f,strict_14_with_grace_period,t,2,Western Addition,37.77478,-12.24315,Apartment,Entire home/apt,10,2,4,7,Real Bed,2,31,90.0,9.0,8.0,9.0,9.0,9.0,9.0,450.0
f,moderate,f,1,Castro/Upper Market,37.76298,-122.43136,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,129,100.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0
t,strict_14_with_grace_period,t,2,Mission,37.76098,-122.42158,Condominium,Private room,4,1,1,2,Real Bed,1,25,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0
t,strict_14_with_grace_period,f,3,Bernal Heights,37.73729,-122.41163,House,Entire home/apt,4,2,2,2,Real Bed,7,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0,220.0
f,flexible,f,1,Outer Richmond,37.77931,-122.50518,Apartment,Entire home/apt,4,1,1,2,Real Bed,2,37,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
t,moderate,f,6,Presidio Heights,37.78197,-122.45809,House,Private room,2,1,1,1,Real Bed,2,197,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
f,super_strict_30,f,35,Noe Valley,3.77483,-122.42488,Guest suite,Entire home/apt,2,1,1,2,Real Bed,30,20,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0
f,moderate,f,2,Bernal Heights,37.74093,-122.42055,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,21,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0
t,strict_14_with_grace_period,t,6,Mission,37.76016,-122.41969,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,96,92.0,10.0,10.0,10.0,10.0,9.0,9.0,108.0
f,moderate,f,1,Presidio Heights,37.78255,-122.44844,Apartment,Private room,2,1,1,1,Real Bed,30,136,96.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
f,flexible,f,4,Castro/Upper Market,37.76125,-122.43335,House,Entire home/apt,3,1,1,1,Real Bed,4,43,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0
t,moderate,f,1,Bernal Heights,37.74083,-122.41763,House,Private room,2,2,1,1,Real Bed,3,225,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
t,moderate,f,1,Mission,37.75611,-122.41866,Apartment,Entire home/apt,4,1,2,2,Real Bed,1,76,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
f,moderate,f,1,Glen Park,37.73557,-122.43302,House,Entire home/apt,3,1,0,2,Real Bed,30,146,89.0,9.0,8.0,9.0,9.0,9.0,9.0,126.0
t,strict_14_with_grace_period,t,1,Nob Hill,37.79001,-122.41292,Condominium,Entire home/apt,3,1,1,1,Real Bed,30,13,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
f,super_strict_30,f,35,Bernal Heights,37.73356,-122.41851,Apartment,Entire home/apt,2,1,0,2,Real Bed,30,6,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
f,super_strict_30,f,35,Bernal Heights,37.73404,-122.41781,House,Entire home/apt,2,1,1,2,Real Bed,30,4,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0
f,moderate,f,1,Mission,37.75117,-122.41326,Apartment,Entire home/apt,2,1,1,1,Futon,30,10,90.0,9.0,9.0,10.0,10.0,10.0,9.0,91.0
f,super_strict_30,f,35,Potrero Hill,37.75447,-122.38813,Guest suite,Entire home/apt,3,1,2,2,Real Bed,30,2,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0
f,super_strict_30,f,35,Haight Ashbury,37.77272,-122.44084,Guest suite,Entire home/apt,3,1,2,2,Real Bed,30,8,56.0,8.0,7.0,8.0,7.0,7.0,7.0,120.0
t,strict_14_with_grace_period,f,2,Mission,37.75145,-122.41207,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,280,97.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0
f,strict_14_with_grace_period,f,2,Mission,37.75121,-122.42165,Apartment,Entire home/apt,4,1,1,2,Real Bed,31,3,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
f,moderate,f,4,Castro/Upper Market,37.76068,-122.43331,Apartment,Entire home/apt,2,1,0,2,Real Bed,3,121,94.0,10.0,9.0,10.0,10.0,10.0,9.0,116.0
t,moderate,t,3,Western Addition,37.77248,-122.43016,House,Private room,2,3,1,1,Real Bed,2,96,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
t,strict_14_with_grace_period,f,1,Ocean View,37.72536,-122.46861,House,Entire home/apt,2,1,1,1,Real Bed,30,29,97.0,10.0,10.0,10.0,10.0,9.0,10.0,78.0
t,moderate,f,9,Pacific Heights,3.77925,-122.42431,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,25,96.0,10.0,9.0,10.0,10.0,10.0,10.0,120.0
t,moderate,f,2,South of Market,37.77116,-122.42199,Apartment,Private room,2,1,1,1,Real Bed,2,151,99.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0
t,strict_14_with_grace_period,t,1,Western Addition,37.77121,-122.42834,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,105,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
t,moderate,f,9,Pacific Heights,37.79312,-1.22426,Apartment,Private room,1,0,1,1,Real Bed,30,160,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0
t,moderate,f,1,Nob Hill,37.79667,-122.41272,Apartment,Private room,1,1,1,1,Real Bed,30,166,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0
t,strict_14_with_grace_period,f,3,Bernal Heights,37.73878,-122.41189,House,Private room,2,1,1,1,Real Bed,3,125,97.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
f,strict_14_with_grace_period,t,1,Financial District,3.77933,-122.40079,Condominium,Entire home/apt,2,1,1,1,Real Bed,30,17,89.0,10.0,9.0,9.0,10.0,10.0,10.0,200.0
t,moderate,f,9,Pacific Heights,37.79166,-12.24265,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,38,93.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0
t,strict_14_with_grace_period,f,4,Outer Richmond,37.77959,-122.48619,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,10,94.0,10.0,10.0,10.0,10.0,9.0,10.0,116.0
t,strict_14_with_grace_period,f,4,Twin Peaks,37.74889,-122.44479,Apartment,Entire home/apt,4,1,1,2,Real Bed,30,26,95.0,10.0,10.0,10.0,10.0,9.0,9.0,116.0
t,moderate,f,9,Pacific Heights,37.79216,-122.42458,Apartment,Private room,1,1,1,1,Real Bed,30,120,92.0,9.0,8.0,10.0,10.0,10.0,9.0,55.0
f,strict_14_with_grace_period,t,2,Downtown/Civic Center,37.78816,-122.41722,Apartment,Entire home/apt,4,1,2,2,Real Bed,3,82,96.0,10.0,9.0,10.0,10.0,9.0,10.0,187.0
f,moderate,f,1,Haight Ashbury,37.77459,-122.43923,Apartment,Entire home/apt,5,2,2,3,Real Bed,31,152,99.0,10.0,10.0,10.0,10.0,10.0,10.0,200.0
f,strict_14_with_grace_period,f,1,Bernal Heights,3.77472,-122.41443,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,213,92.0,10.0,9.0,10.0,9.0,9.0,9.0,175.0
f,strict_14_with_grace_period,t,4,Mission,37.75762,-122.41933,Apartment,Private room,1,1,1,1,Real Bed,2,108,94.0,9.0,9.0,10.0,9.0,10.0,9.0,99.0
f,moderate,t,4,Russian Hill,3.78031,-122.41596,Condominium,Private room,4,2,1,1,Real Bed,2,220,96.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
t,flexible,t,1,Bernal Heights,37.74209,-122.41409,Cottage,Private room,2,1,1,1,Futon,2,185,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
f,strict_14_with_grace_period,f,1,Outer Sunset,37.75674,-122.49178,House,Private room,2,1,1,1,Real Bed,60,1,20.0,10.0,10.0,10.0,2.0,10.0,10.0,100.0
t,moderate,t,2,North Beach,37.80241,-122.40925,Condominium,Private room,2,1,1,1,Real Bed,2,194,98.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,moderate,f,2,Glen Park,37.74183,-122.42993,Apartment,Private room,1,1,1,1,Real Bed,3,35,97.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
t,strict_14_with_grace_period,t,4,Mission,37.74926,-122.41398,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,295,93.0,10.0,10.0,10.0,10.0,10.0,9.0,166.0
f,strict_14_with_grace_period,t,4,Mission,0.37754,-122.41771,Guest suite,Entire home/apt,2,1,1,1,Real Bed,2,210,93.0,9.0,9.0,10.0,10.0,10.0,9.0,125.0
t,flexible,f,1,Marina,37.80317,-122.42874,Apartment,Private room,2,2,1,1,Real Bed,30,65,99.0,10.0,10.0,10.0,10.0,10.0,9.0,90.0
f,strict_14_with_grace_period,f,1,Inner Richmond,37.77798,-122.47812,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,96,83.0,9.0,9.0,10.0,9.0,9.0,8.0,95.0
f,super_strict_30,f,35,Outer Richmond,37.77719,-122.50906,Apartment,Entire home/apt,6,2,3,4,Real Bed,30,12,96.0,9.0,10.0,10.0,10.0,9.0,9.0,216.0
t,strict_14_with_grace_period,t,7,Mission,37.75426,-122.42387,Apartment,Entire home/apt,2,1,1,1,Real Bed,31,35,99.0,10.0,10.0,10.0,10.0,10.0,9.0,326.0
t,moderate,f,1,Inner Richmond,37.77442,-122.46319,House,Entire home/apt,2,1,2,2,Real Bed,30,50,98.0,10.0,10.0,10.0,10.0,10.0,9.0,80.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73027,-122.42644,House,Private room,2,1,1,1,Real Bed,30,39,91.0,9.0,9.0,10.0,9.0,9.0,9.0,46.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73128,-122.42478,House,Private room,2,1,1,1,Real Bed,30,26,82.0,8.0,8.0,8.0,9.0,8.0,8.0,40.0
f,super_strict_30,f,35,Seacliff,37.77707,-122.50923,Apartment,Entire home/apt,4,2,3,3,Real Bed,30,7,93.0,9.0,8.0,9.0,9.0,9.0,8.0,185.0
f,strict_14_with_grace_period,f,2,Bernal Heights,37.74527,-122.42424,Apartment,Entire home/apt,3,1,1,1,Real Bed,31,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,108.0
f,strict_14_with_grace_period,f,20,Chinatown,37.79364,-122.40635,House,Shared room,1,2,1,2,Real Bed,30,12,92.0,9.0,8.0,9.0,9.0,9.0,9.0,30.0
f,flexible,t,20,Financial District,37.79447,-12.24045,Hostel,Shared room,1,1,1,1,Real Bed,1,356,92.0,10.0,10.0,10.0,10.0,10.0,10.0,45.0
t,flexible,f,1,Bernal Heights,37.74578,-122.40841,Guest suite,Private room,2,1,1,1,Real Bed,3,112,98.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0
f,moderate,f,1,Inner Richmond,37.77625,-122.46466,Apartment,Entire home/apt,2,1,1,2,Real Bed,30,2,60.0,9.0,8.0,10.0,10.0,8.0,8.0,80.0
f,strict_14_with_grace_period,f,12,Western Addition,37.77518,-122.43334,Apartment,Entire home/apt,8,1,1,4,Real Bed,30,65,89.0,8.0,8.0,10.0,9.0,10.0,9.0,100.0
f,flexible,t,20,Financial District,37.79309,-122.40443,Hostel,Shared room,2,1,1,2,Real Bed,1,352,94.0,10.0,9.0,10.0,10.0,10.0,9.0,45.0
f,strict_14_with_grace_period,f,12,Western Addition,37.77588,-122.43143,Apartment,Entire home/apt,6,1,1,3,Real Bed,30,50,89.0,9.0,9.0,10.0,9.0,10.0,9.0,95.0
f,moderate,f,1,South of Market,37.77026,-122.41855,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,30,99.0,10.0,10.0,10.0,10.0,8.0,9.0,270.0
f,strict_14_with_grace_period,f,12,Western Addition,37.77388,-122.43298,Apartment,Entire home/apt,4,1,0,2,Real Bed,30,17,96.0,9.0,9.0,10.0,10.0,10.0,9.0,120.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73137,-122.42532,House,Private room,2,1,1,1,Real Bed,30,34,86.0,9.0,8.0,9.0,9.0,8.0,9.0,40.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73128,-122.42473,House,Private room,2,1,1,1,Real Bed,30,9,100.0,9.0,9.0,10.0,10.0,9.0,9.0,43.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73048,-122.42494,House,Private room,2,1,1,1,Real Bed,30,34,90.0,9.0,8.0,9.0,10.0,8.0,9.0,40.0
t,moderate,f,1,Glen Park,37.73838,-122.43375,House,Entire home/apt,2,1,1,1,Real Bed,3,267,98.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73134,-122.42457,House,Private room,3,1,1,1,Real Bed,30,21,81.0,7.0,8.0,9.0,8.0,8.0,8.0,60.0
f,strict_14_with_grace_period,t,4,Mission,37.75615,-122.41927,Apartment,Private room,1,2,1,1,Real Bed,2,74,94.0,9.0,9.0,10.0,10.0,10.0,9.0,75.0
t,moderate,f,1,Western Addition,37.78493,-122.44618,Condominium,Entire home/apt,4,1,1,2,Real Bed,30,14,93.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
f,strict_14_with_grace_period,f,41,Excelsior,37.73152,-122.42547,House,Private room,3,1,1,1,Real Bed,30,20,78.0,8.0,7.0,8.0,9.0,8.0,8.0,40.0
f,strict_14_with_grace_period,f,1,Downtown/Civic Center,37.78025,-12.24131,Loft,Entire home/apt,1,1,1,1,Real Bed,30,14,97.0,10.0,10.0,10.0,10.0,8.0,9.0,250.0
t,moderate,f,1,Western Addition,37.78528,-122.44358,House,Private room,1,1,1,1,Real Bed,1,84,97.0,10.0,10.0,10.0,10.0,9.0,9.0,90.0
f,super_strict_30,f,35,Outer Richmond,37.77483,-122.50952,Apartment,Entire home/apt,2,1,0,1,Real Bed,30,6,100.0,10.0,10.0,9.0,9.0,9.0,9.0,85.0
t,strict_14_with_grace_period,f,2,Castro/Upper Market,37.75969,-122.44445,Guest suite,Entire home/apt,2,1,0,1,Real Bed,4,222,95.0,10.0,10.0,9.0,10.0,10.0,10.0,85.0
t,moderate,f,1,Noe Valley,3.77455,-122.42898,Guest suite,Private room,2,1,1,1,Real Bed,2,323,98.0,10.0,10.0,10.0,10.0,10.0,10.0,115.0
f,strict_14_with_grace_period,f,1,Haight Ashbury,37.76194,-122.44929,Apartment,Entire home/apt,6,1,2,3,Real Bed,30,95,95.0,9.0,9.0,10.0,10.0,10.0,9.0,201.0
t,moderate,t,2,North Beach,37.80299,-122.40937,Condominium,Entire home/apt,4,2,2,2,Real Bed,2,35,98.0,10.0,10.0,10.0,10.0,10.0,10.0,400.0
t,moderate,f,9,Pacific Heights,37.79176,-122.42476,Apartment,Private room,1,1,1,1,Real Bed,30,130,94.0,10.0,9.0,10.0,10.0,10.0,9.0,59.0
f,moderate,f,1,Mission,37.76809,-122.42439,Apartment,Entire home/apt,4,1,2,2,Real Bed,2,12,98.0,10.0,10.0,9.0,10.0,10.0,10.0,185.0
f,strict_14_with_grace_period,f,1,Mission,37.75629,-122.42518,Apartment,Entire home/apt,5,2,3,3,Real Bed,4,10,100.0,10.0,10.0,10.0,10.0,10.0,10.0,450.0
f,strict_14_with_grace_period,f,20,Chinatown,37.79297,-122.40664,House,Shared room,1,2,1,1,Real Bed,30,5,96.0,10.0,8.0,10.0,9.0,8.0,10.0,30.0
f,strict_14_with_grace_period,f,4,Outer Sunset,37.75754,-122.49852,House,Private room,1,1,1,1,Airbed,45,3,100.0,10.0,10.0,10.0,10.0,9.0,10.0,85.0
t,strict_14_with_grace_period,t,1,Downtown/Civic Center,37.78535,-122.41515,Apartment,Entire home/apt,2,2,2,2,Real Bed,30,59,98.0,10.0,10.0,10.0,10.0,8.0,10.0,130.0
f,moderate,t,1,West of Twin Peaks,37.73327,-122.46435,Guest suite,Entire home/apt,4,1,2,2,Real Bed,2,321,94.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
f,strict_14_with_grace_period,f,1,Bayview,37.71549,-122.38922,House,Entire home/apt,4,1,2,2,Real Bed,30,8,93.0,10.0,9.0,10.0,10.0,9.0,10.0,120.0
t,strict_14_with_grace_period,f,7,Chinatown,37.79294,-122.40659,House,Shared room,1,2,1,1,Real Bed,30,14,95.0,9.0,8.0,10.0,10.0,10.0,9.0,30.0
t,strict_14_with_grace_period,f,1,Castro/Upper Market,37.76102,-122.43005,Condominium,Private room,1,1,1,1,Real Bed,1,501,97.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
t,strict_14_with_grace_period,t,2,North Beach,37.80591,-12.24083,Condominium,Entire home/apt,4,1,1,2,Real Bed,30,6,96.0,10.0,10.0,10.0,10.0,10.0,9.0,125.0
f,strict_14_with_grace_period,f,1,Western Addition,37.77083,-122.43109,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,36,99.0,10.0,10.0,10.0,10.0,10.0,9.0,200.0
f,moderate,f,2,Downtown/Civic Center,37.77381,-122.42148,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,70,94.0,10.0,9.0,9.0,10.0,9.0,9.0,75.0
f,strict_14_with_grace_period,f,1,Inner Sunset,37.76334,-122.46948,House,Entire home/apt,6,3,3,4,Real Bed,5,10,98.0,10.0,9.0,10.0,9.0,9.0,9.0,580.0
f,strict_14_with_grace_period,f,4,Haight Ashbury,37.76813,-122.44494,Apartment,Entire home/apt,5,1,3,3,Real Bed,30,80,97.0,10.0,10.0,10.0,10.0,10.0,9.0,150.0
t,strict_14_with_grace_period,f,1,Castro/Upper Market,37.75887,-122.43565,Apartment,Entire home/apt,3,1,1,2,Real Bed,3,137,99.0,10.0,10.0,10.0,10.0,10.0,10.0,328.0
f,strict_14_with_grace_period,f,10,Haight Ashbury,37.76609,-122.45126,Apartment,Private room,2,4,1,1,Real Bed,32,10,86.0,8.0,7.0,10.0,9.0,10.0,8.0,65.0
t,strict_14_with_grace_period,f,1,Mission,37.75586,-122.42092,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,65,99.0,10.0,10.0,10.0,10.0,10.0,10.0,97.0
t,moderate,f,1,Bernal Heights,37.73974,-122.42299,House,Private room,2,1,1,1,Real Bed,1,104,95.0,10.0,10.0,10.0,10.0,10.0,10.0,69.0
f,moderate,f,1,Marina,37.80356,-122.42589,Condominium,Entire home/apt,4,1,2,2,Real Bed,3,69,97.0,9.0,9.0,10.0,10.0,10.0,9.0,275.0
f,strict_14_with_grace_period,t,1,Inner Richmond,3.77806,-122.47597,House,Entire home/apt,6,1,3,3,Real Bed,5,18,94.0,10.0,9.0,9.0,10.0,9.0,9.0,550.0
t,moderate,f,3,Bernal Heights,37.74708,-122.42456,House,Private room,2,1,1,1,Real Bed,2,211,97.0,10.0,10.0,10.0,10.0,10.0,10.0,102.0
f,strict_14_with_grace_period,f,4,Mission,37.75558,-122.42474,House,Entire home/apt,8,2,4,5,Real Bed,4,25,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1200.0
f,flexible,f,1,North Beach,37.79835,-12.24042,Apartment,Entire home/apt,3,1,1,1,Real Bed,30,60,92.0,10.0,9.0,10.0,10.0,10.0,9.0,150.0
f,strict_14_with_grace_period,f,1,South of Market,37.77284,-122.39687,Apartment,Entire home/apt,6,2,3,3,Real Bed,180,2,100.0,10.0,10.0,10.0,10.0,10.0,9.0,500.0
t,flexible,f,1,Castro/Upper Market,37.75823,-122.43273,House,Private room,2,1,1,1,Real Bed,5,57,99.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
t,moderate,f,3,Bernal Heights,37.73874,-122.41624,Apartment,Private room,2,1,1,1,Real Bed,2,150,97.0,10.0,10.0,10.0,10.0,9.0,10.0,90.0
t,strict_14_with_grace_period,f,1,Outer Richmond,37.78471,-122.48125,Condominium,Entire home/apt,4,1,2,2,Real Bed,4,176,98.0,10.0,10.0,10.0,10.0,10.0,10.0,425.0
f,moderate,f,4,Bernal Heights,37.74547,-122.40726,House,Private room,2,1,1,2,Real Bed,2,139,93.0,10.0,9.0,10.0,10.0,9.0,9.0,85.0
t,moderate,f,9,Pacific Heights,37.79336,-122.42506,Apartment,Private room,1,1,1,1,Real Bed,30,117,93.0,10.0,9.0,10.0,10.0,10.0,9.0,56.0
t,strict_14_with_grace_period,f,7,Mission,37.76409,-122.41659,Townhouse,Entire home/apt,4,2,2,3,Real Bed,30,113,96.0,9.0,9.0,9.0,9.0,9.0,9.0,395.0
f,strict_14_with_grace_period,f,3,Diamond Heights,37.74599,-122.44532,Apartment,Entire home/apt,4,1,2,4,Real Bed,30,107,92.0,10.0,9.0,10.0,10.0,9.0,9.0,230.0
